contest_id,index,name,rating,solved_count,tags
1349,A,Orac and LCM,1600,8757,"data structures, math, number theory"
1348,F,Phoenix and Memory,2600,475,"data structures, dfs and similar, graphs, greedy"
1348,E,Phoenix and Berries,2400,1313,"brute force, dp, greedy, math"
1348,D,Phoenix and Science,1900,5930,"binary search, constructive algorithms, greedy, implementation, math"
1348,C,Phoenix and Distribution,1600,9482,"constructive algorithms, greedy, sortings, strings"
1348,B,Phoenix and Beauty,1400,14249,"constructive algorithms, data structures, greedy, sortings"
1348,A,Phoenix and Balance,800,22334,"greedy, math"
1346,I,Pac-Man 2.0,2900,15,"*special, dp"
1346,H,Game with Segments,2700,20,"*special, data structures, games"
1346,G,Two IP Cameras,2300,78,"*special, math, number theory"
1346,F,Dune II: Battle For Arrakis,2000,144,"*special, data structures, greedy, math"
1346,E,Magic Tricks,1700,203,"*special, dp, graphs"
1346,D,Constructing the Dungeon,1600,306,"*special, graphs, greedy"
1346,C,Spring Cleaning,1600,395,"*special, greedy, sortings"
1346,B,Boot Camp,1400,761,"*special, greedy"
1346,A,Color Revolution,1000,1215,"*special, math"
1345,B,Card Constructions,1100,15047,"binary search, brute force, dp, math"
1345,A,Puzzle Pieces,800,17386,math
1344,F,Piet's Palette,3200,84,matrices
1344,E,Train Tracks,3100,66,"data structures, trees"
1344,D,Résumé Review,2700,520,"binary search, greedy, math"
1344,C,Quantifier Question,2600,1128,"dfs and similar, dp, graphs, math"
1344,B,Monopole Magnets,2000,4138,"constructive algorithms, dfs and similar, dsu, graphs"
1344,A,Hilbert's Hotel,1600,9949,"math, number theory, sortings"
1343,F,Restore the Permutation by Sorted Segments,2400,823,"brute force, constructive algorithms, data structures, greedy, implementation"
1343,E,Weights Distributing,2100,3201,"brute force, graphs, greedy, shortest paths, sortings"
1343,D,Constant Palindrome Sum,1700,7823,"brute force, data structures, greedy, two pointers"
1343,C,Alternating Subsequence,1200,18843,"dp, greedy, two pointers"
1343,B,Balanced Array,800,24679,"constructive algorithms, math"
1343,A,Candies,900,24221,"brute force, math"
1342,F,Make It Ascending,3000,201,"bitmasks, brute force, dp"
1342,E,Placing Rooks,2300,1479,"combinatorics, fft, math"
1342,D,Multiple Testcases,1900,4410,"binary search, constructive algorithms, data structures, greedy, sortings, two pointers"
1342,C,Yet Another Counting Problem,1600,9223,"math, number theory"
1342,B,Binary Period,1100,16357,"constructive algorithms, strings"
1342,A,Road To Zero,1000,19828,"greedy, math"
1341,B,Nastya and Door,1300,13399,"greedy, implementation"
1341,A,Nastya and Rice,900,18601,math
1340,F,Nastya and CBS,3300,97,"brute force, data structures, hashing"
1340,E,Nastya and Bees,3000,36,"graphs, interactive, probabilities"
1340,D,Nastya and Time Machine,2600,470,"constructive algorithms, dfs and similar, graphs, trees"
1340,C,Nastya and Unexpected Guest,2400,1419,"dfs and similar, dp, graphs, shortest paths"
1340,B,Nastya and Scoreboard,1700,5464,"bitmasks, dp, graphs, greedy"
1340,A,Nastya and Strange Generator,1500,10481,"brute force, data structures, greedy, implementation"
1339,B,Sorted Adjacent Differences,1200,15072,"constructive algorithms, sortings"
1339,A,Filling Diamonds,900,18190,"brute force, dp, implementation, math"
1338,E,JYPnation,3500,72,graphs
1338,D,Nested Rubber Bands,2700,418,"constructive algorithms, dfs and similar, dp, math, trees"
1338,C,Perfect Triples,2200,2134,"bitmasks, brute force, constructive algorithms, divide and conquer, math"
1338,B,Edge Weight Assignment,1800,5452,"bitmasks, constructive algorithms, dfs and similar, greedy, math, trees"
1338,A,Powered Addition,1500,13088,"greedy, math"
1337,B,Kana and Dragon Quest game,900,19733,"greedy, implementation, math"
1337,A,Ichihime and Triangle,800,20331,"constructive algorithms, math"
1336,F,Journey,3500,71,"data structures, divide and conquer, graphs, trees"
1336,E2,Chiori and Doll Picking (hard version),3500,99,"bitmasks, brute force, combinatorics, math"
1336,E1,Chiori and Doll Picking (easy version),2700,383,"bitmasks, brute force, combinatorics, math"
1336,D,Yui and Mahjong Set,3200,273,"constructive algorithms, interactive"
1336,C,Kaavi and Magic Spell,2200,2223,"dp, strings"
1336,B,Xenia and Colorful Gems,1700,7558,"binary search, greedy, math, sortings, two pointers"
1336,A,Linova and Kingdom,1600,10672,"dfs and similar, dp, greedy, sortings, trees"
1335,F,Robots on a Grid,2200,1329,"data structures, dfs and similar, dsu, graphs, greedy, matrices"
1335,E2,Three Blocks Palindrome (hard version),1800,5100,"brute force, data structures, dp, two pointers"
1335,E1,Three Blocks Palindrome (easy version),1700,6870,"binary search, brute force, data structures, dp, two pointers"
1335,D,Anti-Sudoku,1300,16084,"constructive algorithms, implementation"
1335,C,Two Teams Composing,1100,18992,"binary search, greedy, implementation, sortings"
1335,B,Construct the String,900,21459,constructive algorithms
1335,A,Candies and Two Sisters,800,28297,math
1334,G,Substring Search,2900,203,"bitmasks, brute force, fft"
1334,F,Strange Function,2500,607,"binary search, data structures, dp, greedy"
1334,E,Divisor Paths,2200,1673,"combinatorics, graphs, greedy, math, number theory"
1334,D,Minimum Euler Cycle,1800,5005,"constructive algorithms, graphs, greedy, implementation"
1334,C,Circle of Monsters,1600,10075,"brute force, constructive algorithms, greedy, math"
1334,B,Middle Class,1100,16099,"greedy, sortings"
1334,A,Level Statistics,1200,15813,"implementation, math"
1333,F,Kate and imperfection,2200,2831,"greedy, implementation, math, number theory, sortings, two pointers"
1333,E,Road to 1600,2400,922,"brute force, constructive algorithms"
1333,D,Challenges in school №41,2100,2899,"brute force, constructive algorithms, games, graphs, greedy, implementation, sortings"
1333,C,Eugene and an array,1700,7869,"binary search, data structures, implementation, two pointers"
1333,B,Kind Anton,1100,15113,"greedy, implementation"
1333,A,Little Artem,1000,16755,constructive algorithms
1332,G,No Monotone Triples,3100,147,data structures
1332,F,Independent Set,2500,664,"dfs and similar, dp, trees"
1332,E,Height All the Same,2100,2521,"combinatorics, constructive algorithms, math, matrices"
1332,D,Walk on Matrix,1700,5919,"bitmasks, constructive algorithms, math"
1332,C,K-Complete Word,1500,9694,"dfs and similar, dsu, greedy, implementation, strings"
1332,B,Composite Coloring,1400,10994,"brute force, constructive algorithms, greedy, math, number theory"
1332,A,Exercising Walk,1100,15030,"greedy, implementation, math"
1331,H,It's showtime,,455,
