contest_id,index,name,rating,solved_count,tags
1295,C,Obtain The String,1600,7400,"dp, greedy, strings"
1295,B,Infinite Prefixes,1700,6351,"math, strings"
1295,A,Display The Number,900,15120,greedy
1294,F,Three Paths on a Tree,2000,2842,"dfs and similar, dp, greedy, trees"
1294,E,Obtain a Permutation,1900,3251,"greedy, implementation, math"
1294,D,MEX maximizing,1600,6891,"data structures, greedy, implementation, math"
1294,C,Product of Three Numbers,1300,13978,"greedy, math, number theory"
1294,B,Collecting Packages,1200,13571,"implementation, sortings"
1294,A,Collecting Coins,800,20482,math
1293,B,JOE is on TV!,1000,13091,"combinatorics, greedy, math"
1293,A,ConneR and the A.R.C. Markland-N,1100,10743,"binary search, brute force, implementation"
1292,F,Nora's Toy Boxes,3500,52,"bitmasks, combinatorics, dp"
1292,E,Rin and The Unknown Flower,3500,102,"constructive algorithms, greedy, interactive, math"
1292,D,Chaotic V.,2700,469,"dp, graphs, greedy, math, number theory, trees"
1292,C,Xenon's Attack on the Gangs,2300,1184,"combinatorics, dfs and similar, dp, greedy, trees"
1292,B,Aroma's Search,1700,3977,"brute force, constructive algorithms, geometry, greedy, implementation"
1292,A,NEKO's Maze Game,1400,8994,"data structures, dsu, implementation"
1291,F,Coffee Varieties (easy version),2800,186,"graphs, interactive"
1291,B,Array Sharpening,1300,8747,"greedy, implementation"
1291,A,Even But Not Even,900,11968,"greedy, math, strings"
1290,F,Making Shapes,3500,49,dp
1290,E,Cartesian Tree ,3300,72,data structures
1290,D,Coffee Varieties (hard version),3000,265,"constructive algorithms, graphs, interactive"
1290,C,Prefix Enlightenment,2400,908,"dfs and similar, dsu, graphs"
1290,B,Irreducible Anagrams,1800,3105,"binary search, constructive algorithms, data structures, strings, two pointers"
1290,A,Mind Control,1600,5739,"brute force, data structures, implementation"
1288,F,Red-Blue Graph,2900,176,"constructive algorithms, flows"
1288,E,Messenger Simulator,2000,1944,data structures
1288,D,Minimax Problem,2000,3518,"binary search, bitmasks, dp"
1288,C,Two Arrays,1600,6501,"combinatorics, dp"
1288,B,Yet Another Meme Problem,1100,11420,math
1288,A,Deadline,1100,11835,"binary search, brute force, math, ternary search"
1287,B,Hyperset,1500,6391,"brute force, data structures, implementation"
1287,A,Angry Students,800,13600,"greedy, implementation"
1286,F,Harry The Potter,3100,76,"brute force, constructive algorithms, dp, fft, implementation, math"
1286,E,Fedya the Potter Strikes Back,3200,73,"data structures, strings"
1286,D,LCC,3100,229,"data structures, math, matrices, probabilities"
1286,C2,Madhouse (Hard version),2800,339,"brute force, constructive algorithms, hashing, interactive, math"
1286,C1,Madhouse (Easy version),2400,780,"brute force, constructive algorithms, interactive, math"
1286,B,Numbers on Tree,1800,2753,"constructive algorithms, data structures, dfs and similar, graphs, greedy, trees"
1286,A,Garland,1800,5106,"dp, greedy, sortings"
1285,F,Classical?,2900,455,"binary search, combinatorics, number theory"
1285,E,Delete a Segment,2300,1042,"brute force, constructive algorithms, data structures, dp, graphs, sortings, trees, two pointers"
1285,D,Dr. Evil Underscores,1900,4235,"bitmasks, brute force, dfs and similar, divide and conquer, dp, greedy, strings, trees"
1285,C,Fadi and LCM,1400,10657,"brute force, math, number theory"
1285,B,Just Eat It!,1300,11120,"dp, greedy, implementation"
1285,A,Mezo Playing Zoma,800,17810,math
1284,G,Seollal,3300,49,graphs
1284,F,New Year and Social Network,3200,128,"data structures, graph matchings, graphs, math, trees"
1284,E,New Year and Castle Construction,2500,702,"combinatorics, geometry, math, sortings"
1284,D,New Year and Conference,2100,2072,"binary search, data structures, hashing, sortings"
1284,C,New Year and Permutation,1600,5255,"combinatorics, math"
1284,B,New Year and Ascent Sequence,1400,7415,"binary search, combinatorics, data structures, dp, implementation, sortings"
1284,A,New Year and Naming,800,14412,"implementation, strings"
1283,F,DIY Garland,2200,830,"constructive algorithms, greedy, trees"
